0,3905,client3
0,4080,client2
0,4910,client6
0,4911,client9
0,4911,client4
0,5048,client5
0,10044,client
0,10044,client7
0,10044,client8
0,10046,client10
1,9509,client8
1,9521,client2
1,9671,client5
1,9672,client4
1,9683,client10
1,9761,client
1,10298,client9
1,11531,client6
1,12367,client3
1,13502,client7
2,9422,client10
2,9423,client8
2,9426,client7
2,9426,client9
2,9478,client
2,9477,client4
2,9477,client5
2,9477,client6
2,9482,client3
2,11003,client2
3,9768,client9
3,9956,client10
3,9958,client5
3,9960,client3
3,9961,client
3,10019,client7
3,10025,client4
3,12117,client6
3,12131,client8
3,12513,client2
4,8059,client10
4,8576,client4
4,8580,client2
4,8579,client9
4,8582,client5
4,8656,client7
4,10998,client3
4,12153,client6
4,12231,client8
4,12292,client
5,7531,client5
5,8896,client4
5,8942,client3
5,8942,client9
5,8960,client2
5,8957,client8
5,8964,client
5,9000,client7
5,12935,client6
5,13260,client10
6,9378,client3
6,10420,client7
6,10420,client8
6,10423,client
6,10464,client4
6,10530,client2
6,11044,client10
6,11392,client6
6,11394,client9
6,12345,client5
7,8808,client6
7,8807,client9
7,8809,client8
7,8953,client3
7,11605,client10
7,11610,client
7,11624,client5
7,11623,client7
7,11626,client2
7,11626,client4
8,11180,client6
8,11182,client2
8,11186,client4
8,11187,client3
8,11187,client9
8,11199,client
8,11627,client7
8,11905,client5
8,12252,client10
8,12254,client8
9,11395,client4
9,11394,client8
9,11398,client5
9,11404,client3
9,11408,client7
9,11439,client9
9,11444,client6
9,11506,client10
9,11724,client2
9,12891,client
10,10977,client
10,10976,client9
10,10997,client3
10,11000,client2
10,11000,client10
10,11001,client7
10,11034,client8
10,12090,client5
10,12206,client4
10,14685,client6
11,11276,client6
11,11274,client10
11,11275,client9
11,11277,client8
11,11278,client7
11,11337,client2
11,11376,client4
11,11418,client3
11,11924,client5
11,12173,client
12,7822,client2
12,8463,client9
12,8473,client3
12,10261,client
12,10257,client7
12,10309,client8
12,10346,client4
12,10347,client6
12,12051,client5
12,13146,client10
13,25447,client4
13,25770,client5
13,25901,client2
13,26135,client
13,26271,client6
13,26323,client10
13,26517,client3
13,26762,client9
13,27073,client8
13,27202,client7
14,15545,client7
14,15713,client2
14,15813,client
14,16089,client10
14,16154,client6
14,16233,client5
14,16310,client8
14,16447,client3
14,16539,client9
14,19214,client4
15,25458,client6
15,25712,client9
15,25891,client
15,26059,client3
15,26210,client8
15,26291,client5
15,26945,client10
15,26956,client7
15,27106,client2
15,27515,client4
16,9173,client8
16,13038,client5
16,13131,client2
16,13146,client7
16,13150,client3
16,13198,client9
16,13433,client4
16,13551,client10
16,13609,client
16,13608,client6
17,14197,client10
17,14239,client8
17,14505,client6
17,14566,client7
17,14581,client2
17,14839,client5
17,14995,client9
17,15719,client3
17,16507,client
17,17400,client4
18,12286,client8
18,12392,client7
18,12506,client2
18,13111,client9
18,13218,client5
18,13455,client
18,13555,client4
18,13754,client6
18,14688,client10
18,16185,client3
19,11918,client2
19,11962,client10
19,12148,client7
19,12976,client4
19,13082,client9
19,13320,client5
19,13336,client6
19,13541,client8
19,13584,client
19,14476,client3
