0,3742,client2
0,4424,client8
0,4604,client4
0,4604,client9
0,4663,client3
0,4699,client10
0,4703,client
0,4738,client5
0,5413,client6
0,12236,client7
1,7000,client
1,8029,client9
1,8030,client5
1,8033,client3
1,8033,client8
1,8036,client2
1,8038,client6
1,12264,client7
1,12785,client10
1,13042,client4
2,6386,client7
2,6385,client9
2,6388,client6
2,6394,client5
2,6420,client8
2,6440,client
2,6437,client10
2,6472,client2
2,12111,client3
2,12267,client4
3,2610,client5
3,3375,client6
3,3396,client3
3,5506,client8
3,5517,client
3,5516,client4
3,5599,client7
3,5599,client9
3,5634,client10
3,9532,client2
4,4173,client2
4,4273,client6
4,4283,client7
4,4867,client4
4,4872,client3
4,4875,client10
4,4882,client8
4,4932,client
4,10300,client9
4,10886,client5
5,3032,client9
5,4694,client5
5,4697,client7
5,4699,client3
5,4700,client6
5,4729,client
5,4794,client2
5,10559,client8
5,10558,client10
5,10561,client4
6,4114,client10
6,4292,client
6,4945,client2
6,4946,client7
6,4955,client6
6,4956,client8
6,8560,client3
6,8567,client5
6,9541,client9
6,9710,client4
7,4514,client10
7,4514,client7
7,6385,client2
7,6388,client
7,6390,client9
7,6438,client8
7,7245,client6
7,7251,client4
7,10876,client5
7,12613,client3
8,6628,client10
8,6642,client7
8,6644,client4
8,6643,client9
8,6643,client8
8,6667,client3
8,6727,client6
8,6730,client
8,12077,client2
8,12178,client5
9,4996,client9
9,5039,client
9,20480,client3
9,20535,client6
9,20543,client4
9,21111,client7
9,21267,client8
9,21845,client10
9,22126,client2
9,22377,client5
10,7850,client10
10,7938,client
10,8029,client8
10,8205,client4
10,8841,client5
10,8843,client2
10,8942,client9
10,9039,client3
10,11960,client6
10,12135,client7
11,5039,client9
11,6823,client2
11,7001,client
11,7280,client6
11,11052,client8
11,11377,client5
11,12051,client3
11,12113,client10
11,12838,client4
11,13259,client7
12,15536,client9
12,15643,client
12,15694,client3
12,16187,client7
12,16233,client2
12,16239,client10
12,16953,client8
12,17275,client4
12,17311,client6
12,17376,client5
13,7647,client7
13,7765,client3
13,7830,client8
13,7833,client5
13,7835,client
13,7840,client4
13,7840,client6
13,7838,client10
13,8203,client9
13,11944,client2
14,5144,client6
14,7667,client9
14,7815,client
14,7815,client2
14,7841,client8
14,7843,client5
14,7930,client10
14,7934,client4
14,7954,client7
14,8195,client3
15,6120,client
15,8162,client8
15,8264,client2
15,8267,client5
15,8270,client9
15,8272,client6
15,8785,client7
15,8786,client10
15,12100,client4
15,12152,client3
16,9892,client10
16,9966,client3
16,10069,client2
16,10067,client5
16,10066,client7
16,10066,client9
16,10068,client4
16,10071,client
16,10068,client6
16,12569,client8
17,4280,client8
17,7323,client2
17,7321,client7
17,7344,client
17,7347,client4
17,7346,client10
17,7348,client6
17,7400,client5
17,10804,client3
17,12219,client9
18,3209,client2
18,3926,client10
18,3970,client8
18,6445,client7
18,6451,client5
18,6453,client3
18,6454,client6
18,6454,client9
18,6458,client
18,6458,client4
19,8067,client
19,8067,client6
19,8069,client3
19,8070,client4
19,8141,client10
19,8143,client5
19,8870,client9
19,8873,client8
19,10716,client2
19,12216,client7
